2016-05-23 14:24:40,571 - INFO - Namespace(attention=False, batch_size=50, bidir=False, dropout=0.0, embed='w2v', epochs=5, expdir='./exp/gru_naive_epoch5', input_size=300, label_size=2, lr=0.01, lr_decay=0.5, lr_decay_after=3, lr_decay_threshold=0.01, max_lr_decays=5, max_norm=5.0, mode='sq2sq', optimizer='adam', print_every=1, recdrop=False, resume_epoch=None, reverse=False, rlayers=1, rnn_dim=1000, seed=1234, src_steps=65, stocdrop=0.0, tgt_steps=20, warm_start_iters=100, warm_start_lr=None)
2016-05-23 14:24:40,571 - INFO - loading data...
2016-05-23 14:25:23,286 - INFO - # params: 7814002
2016-05-23 14:25:25,714 - INFO - epoch 1, iter 1, cost 0.693214, expcost 0.693214, batch time 2.427705, grad/param norm 0.002752, accuracy 0.500000
2016-05-23 14:25:28,088 - INFO - epoch 1, iter 2, cost 13.864431, expcost 0.824926, batch time 2.373733, grad/param norm 0.030662, accuracy 0.400000
2016-05-23 14:25:30,606 - INFO - epoch 1, iter 3, cost 4.477731, expcost 0.861454, batch time 2.518048, grad/param norm 0.030327, accuracy 0.440000
2016-05-23 14:25:33,113 - INFO - epoch 1, iter 4, cost 3.288023, expcost 0.885720, batch time 2.507021, grad/param norm 0.029946, accuracy 0.640000
2016-05-23 14:25:36,068 - INFO - epoch 1, iter 5, cost 5.712133, expcost 0.933984, batch time 2.954879, grad/param norm 0.029506, accuracy 0.480000
2016-05-23 14:25:38,614 - INFO - epoch 1, iter 6, cost 1.981185, expcost 0.944456, batch time 2.545800, grad/param norm 0.029029, accuracy 0.500000
2016-05-23 14:25:41,126 - INFO - epoch 1, iter 7, cost 3.896788, expcost 0.973980, batch time 2.511144, grad/param norm 0.028530, accuracy 0.540000
2016-05-23 14:25:43,627 - INFO - epoch 1, iter 8, cost 5.202038, expcost 1.016260, batch time 2.501094, grad/param norm 0.028032, accuracy 0.500000
2016-05-23 14:25:46,041 - INFO - epoch 1, iter 9, cost 2.678171, expcost 1.032879, batch time 2.413672, grad/param norm 0.027536, accuracy 0.560000
2016-05-23 14:25:48,466 - INFO - epoch 1, iter 10, cost 1.323012, expcost 1.035781, batch time 2.424731, grad/param norm 0.027058, accuracy 0.420000
2016-05-23 14:25:50,879 - INFO - epoch 1, iter 11, cost 0.705873, expcost 1.032482, batch time 2.413037, grad/param norm 0.019846, accuracy 0.540000
2016-05-23 14:25:53,414 - INFO - epoch 1, iter 12, cost 1.487985, expcost 1.037037, batch time 2.535069, grad/param norm 0.026185, accuracy 0.660000
